      Game           P1_Result           P2_Result
         1                 500                   0
         2                   0                 500
         3                   0                 500
         4                   0                 500
         5                   0                 500
         6                   0                 500
         7                2000               -1500
         8                -500                1000
         9                 500                   0
        10                   0                 500
        11               -1500                2000
        12                   0                 500
        13                   0                 500
        14                1000                -500
        15                -250                 750
        16                   0                 500
        17                   0                 500
        18                -250                 750
        19                   0                 500
        20                 500                   0
        21               -1500                2000
        22                 500                   0
        23                2000               -1500
        24                 500                   0
        25                   0                 500
        26                 500                   0
        27                2000               -1500
        28                 500                   0
        29                 500                   0
        30                 500                   0
        31               -1500                2000
        32                 500                   0
        33                 500                   0
        34                -250                 750
        35                 500                   0
        36                -250                 750
        37                   0                 500
        38                -500                1000
        39                 500                   0
        40                 500                   0
        41                 500                   0
        42                   0                 500
        43                2000               -1500
        44                 500                   0
        45               -1500                2000
        46                500                   0
        47                2000               -1500
        48                   0                 500
        49                2000               -1500
        50                -250                 750
        51                 500                   0
        52                -500                1000
        53                2000               -1500
        54                 500                   0
        55                 500                   0
        56                 500                   0
        57                 500                   0
        58                   0                 500
        59                   0                 500
        60                -500                1000
        61                   0                 500
        62                   0                 500
        63                 500                   0
        64                   0                 500
        65                 500                   0
        66                -500                1000
        67                 500                   0
        68                 500                   0
        69                   0                 500
        70                   0                 500
        71                   0                 500
        72                1000                -500
        73                   0                 500
        74                -250                 750
        75                 500                   0
        76                -250                 750
        77                2000               -1500
        78                -250                 750
        79                   0                 500
        80                 500                   0
        81                   0                 500
        82                 500                   0
        83                   0                 500
        84                   0                 500
        85                2000               -1500
        86                -500                1000
        87                   0                 500
        88                 500                   0
        89                2000               -1500
        90                 500                   0
        91               -1500                2000
        92                -250                 750
        93                 500                   0
        94                 500                   0
        95                2000               -1500
        96                 500                   0
        97                2000               -1500
        98                 750                -250
        99               -1500                2000
       100                -250                 750
----------------
 Result 
----------------
Player1: 52 win, 48 loss, 0 draw:+33750
Player2: 48 win, 52 loss: 0 draw:+17250
