      Game           P1_Result           P2_Result
         1                   0                  500
         2                -500                 1000
         3                -250                  750
         4                 500                   0
         5                2000               -1500
         6                   0                 500
         7                   0                 500
         8                   0                 500
         9                 500                   0
        10                   0                 500
        11                   0                 500
        12                 750                -250
        13                2000               -1500
        14               -1500                2000
        15                   0                 500
        16                 500                   0
        17                 500                   0
        18                 500                   0
        19                   0                 500
        20                 500                   0
        21                 500                   0
        22                 500                   0
        23                2000               -1500
        24                1500               -1000
        25                 500                   0
        26                2000               -1500
        27                 500                   0
        28               -1500                2000
        29                 500                   0
        30                2000               -1500
        31                2000               -1500
        32                   0                 500
        33                 500                   0
        34                 500                   0
        35               -1500                2000
        36                 500                   0
        37               -1500                2000
        38                 500                   0
        39                2000               -1500
        40               -1000                1500
        41               -1500                2000
        42                 500                   0
        43               -1500                2000
        44                 500                   0
        45                   0                 500
        46                 500                   0
        47                1000                -500
        48                 500                   0
        49                   0                 500
        50               -1500                2000
        51                 500                   0
        52                2000               -1500
        53               -1500                2000
        54                 500                   0
        55               -1500                2000
        56                 500                   0
        57               -1500                2000
        58                2000               -1500
        59                1500               -1000
        60                 500                   0
        61                2000               -1500
        62                 500                   0
        63                   0                 500
        64                 500                   0
        65                1000                -500
        66                 500                   0
        67                   0                 500
        68               -1500                2000
        69                   0                 500
        70                   0                 500
        71                 750                -250
        72                2000               -1500
        73               -1500                2000
        74                 500                   0
        75                   0                 500
        76                   0                 500
        77                   0                 500
        78                 500                   0
        79                   0                 500
        80               -1500                2000
        81                 500                   0
        82               -1500                2000
        83                 500                   0
        84                 500                   0
        85                2000               -1500         
        86                 500                   0
        87                2000               -1500
        88                   0                 500
        89               -1500                2000
        90                 500                   0
        91                2000               -1500
        92                 500                   0
        93                 500                   0
        94                 500                   0
        95               -1500                2000
        96                 500                   0
        97               -1500                2000
        98                 500                   0
        99                   0                 500
       100                1000                -500
        
----------------
 Result 
----------------
Player1: 59 win, 41 lose, 0 draw:+24750
Player2: 41 win, 59 lose, 0 draw:+22250
